Building DAG of jobs...
output_file	date	rule	version	log-file(s)	status	plan
analysis/align/TUMOR/TUMOR.sorted.bam	Wed Jun 29 09:39:20 2022	aggregate_input	-		ok	no update
analysis/align/TUMOR/TUMOR.sorted.bam.bai	Wed Jun 29 09:39:20 2022	aggregate_input	-		ok	no update
analysis/align/TUMOR/TUMOR.sorted.fromFastq.bam	-	align_from_fastq	-	analysis/logs/align/TUMOR/align.sentieon_bwa.TUMOR.log	missing	no update
analysis/align/TUMOR/TUMOR.sorted.fromFastq.bam.bai	-	align_from_fastq	-	analysis/logs/align/TUMOR/align.sentieon_bwa.TUMOR.log	missing	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.bam	Wed Jun 29 09:42:17 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.bam.bai	Wed Jun 29 09:42:17 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.dedup.metric.txt	Wed Jun 29 09:42:17 2022	dedupSortedUniqueBam	-	analysis/logs/align/TUMOR/align.dedupSortedUniqueBam.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.score.txt	Wed Jun 29 09:39:27 2022	scoreSample	-	analysis/logs/align/TUMOR/align.scoreSample.TUMOR.log	ok	no update
analysis/align/TUMOR/TUMOR.sorted.score.txt.idx	Wed Jun 29 09:39:27 2022	scoreSample	-	analysis/logs/align/TUMOR/align.scoreSample.TUMOR.log	ok	no update
analysis/align/mapping.csv	Wed Jun 29 09:42:43 2022	collect_map_stats	-	analysis/logs/align/align.collect_map_stats.log	ok	no update
analysis/align/TUMOR/TUMOR_mapping.txt	Wed Jun 29 09:42:36 2022	map_stats	-	analysis/logs/align/TUMOR/align.map_stats.TUMOR.log	ok	no update
analysis/metrics/TUMOR/TUMOR_mq_metrics.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_qd_metrics.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_gc_summary.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_gc_metrics.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_aln_metrics.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_is_metrics.txt	Wed Jun 29 09:42:31 2022	Metrics_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_metrics.pdf	Wed Jun 29 09:42:43 2022	Metrics_sentieon_plots	-		ok	no update
analysis/metrics/all_sample_summaries.txt	Wed Jun 29 16:00:38 2022	metrics_collect_target_summaries	-		ok	no update
analysis/metrics/TUMOR/TUMOR_target_metrics.sample_summary.txt	Wed Jun 29 16:00:37 2022	addExtension	-		ok	no update
analysis/metrics/TUMOR/TUMOR_target_metrics.txt	Wed Jun 29 16:00:37 2022	targets_sentieon	-		ok	no update
analysis/metrics/TUMOR/TUMOR_target_metrics.txt.sample_summary	-	targets_sentieon	-		missing	no update
analysis/align/TUMOR/TUMOR.realigned.bam	Wed Jun 29 09:47:00 2022	Indel_realigner_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR.realigned.bam.bai	Wed Jun 29 09:47:00 2022	Indel_realigner_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR_prerecal_data.table	Wed Jun 29 09:51:29 2022	Base_recalibration_precal_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR_recalibrated.bam	Wed Jun 29 09:51:29 2022	Base_recalibration_precal_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR_recalibrated.bam.bai	Wed Jun 29 09:51:29 2022	Base_recalibration_precal_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR_postrecal_data.table	Wed Jun 29 09:51:45 2022	Base_recalibration_postcal_sentieon	-		ok	no update
analysis/align/TUMOR/TUMOR_recal.csv	Wed Jun 29 09:51:46 2022	Base_recalibration_sentieon	-		ok	no update
analysis/somatic/TUMOR/TUMOR_tnscope.output.vcf.gz	Wed Jun 29 10:06:40 2022	somatic_calling_TUMOR_filter	-		rule implementation changed	no update
analysis/somatic/TUMOR/TUMOR_tnscope.output.twist.vcf	Wed Jun 29 10:06:52 2022	somatic_twist	-		set of input files changed	update pending
analysis/somatic/TUMOR/TUMOR_preprocess.vcf.gz	Wed Jun 29 10:02:08 2022	somatic_calling_TUMOR_TNscope	-		rule implementation changed	update pending
analysis/somatic/TUMOR/TUMOR_preprocess.vcf.gz.tbi	Wed Jun 29 10:02:06 2022	-	-	-	rule implementation changed	update pending
